id,title,subtitle,price,transaction_type,property_type,location_details,municipality,surface,rooms,bedrooms,bathrooms,features,poi,description,url,image_path,images_folder,images_count,scraped_at,last_updated
1227,S2 à quelques mètres de la plage a chott mariem,Tunisie,305000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,2.0,,,{},{},Cet appartement occupe le deuxième étage d’une résidence à quelques mètres de la plage. L’entrée donne sur une pièce de vie qui s'ouvre sur un balcon. La cuisine à l’américaine est équipée de l'électroménager nécessaire. Un couloir nous mène à la partie Nuit qui loge La partie deux chambres à coucher et d'une salle de bain avec baignoire.,https://www.mubawab.tn/fr/a/7963904/s2-%C3%A0-quelques-m%C3%A8tres-de-la-plage-a-chott-mariem,media\apartment\153\image_001.jpg,media\apartment\153,9,2026-02-18 09:50:11.026238,Unknown
1228,Appartement S2 en vente,Tunisie,187000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,1.0,,,{},{},"Cet appartement est situé au troisième étage d’une résidence à seulement quelques minutes à pied de la plage. L’entrée s’ouvre sur un salon donnant accès à une terrasse avec une vue dégagée. La cuisine indépendante bénéficie d’un séchoir. La partie nuit comprend deux chambres à coucher, dont l’une avec un dressing encastré. Elles partagent une salle de bains équipée d’une baignoire",https://www.mubawab.tn/fr/a/8227631/appartement-s2-en-vente,media\apartment\296\image_001.jpg,media\apartment\296,7,2026-02-18 10:59:11.835834,Unknown
1229,A vendre un appartement en S3 de 140m² à Ennasr2,Tunisie,550000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,134.5,2.0,,,{},{},"Cet appartement est situé à Ennasr 1, au sein d’une résidence récente, sécurisée et très bien réputée. Il se trouve au 3 étage et bénéficie d’un double ascenseur. À l’entrée, on découvre un agréable salon lumineux ouvrant sur un balcon offrant une vue dégagée. La cuisine est entièrement équipée et aménagée, complétée par un séchoir et équipée d’un détecteur de fumée pour plus de sécurité. Une salle d’eau pour les invités vient compléter la partie jour. La partie nuit se compose d’une suite parentale avec dressing et salle d’eau privative, de deux chambres à coucher dotées de dressings, ainsi que d’une salle de bain commune. L’appartement est entièrement sécurisé et modernisé, il dispose d’une alarme, de caméras de surveillance, d’un vidéophone et d’un système domotique permettant de contrôler l’ensemble des installations à distance. Des climatiseurs split-system sont installés dans toutes les pièces Une place de parking est disponible au sous-sol.",https://www.mubawab.tn/fr/a/8295962/a-vendre-un-appartement-en-s3-de-140m%C2%B2-%C3%A0-ennasr2,media\apartment\10\image_001.jpg,media\apartment\10,13,2026-02-18 09:19:31.485226,Unknown
1230,Appartement S3 à ain Zaghouan,Tunisie,468000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,3.0,,,{},{},Société Mellouli immobilière met à la vente un appartement S3 à ain Zaghouan derrière maison hyndai dans une résidence calme et sécurisée - salon avec balcon - cuisine agencée et équipée avec séchoir - salle d'eau pour invités - deux chambres à coucher avec dressing - suite parentale - salle de bain commune L'appartement est doté de la climatisation en Split et du chauffage central.,https://www.mubawab.tn/fr/a/8198766/appartement-s3-%C3%A0-ain-zaghouan,media\apartment\71\image_001.jpg,media\apartment\71,6,2026-02-18 09:31:51.958064,Unknown
1231,A vendre appartement en S3,Tunisie,650000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,2.0,,,{},{},"Cet appartement est situé au premier étage d’une résidence calme et sécurisée. L’entrée s’ouvre sur un salon lumineux donnant accès à un balcon, ainsi qu’à une cuisine entièrement aménagée et équipée comprenant une plaque de cuisson, un four électrique, une hotte aspirante, un micro-ondes, un réfrigérateur et une machine à laver, complétée par un séchoir. Une salle d’eau pour invités complète la partie jour, avec chauffage central et climatisation. La partie nuit se compose de deux chambres à coucher avec dressing, d’une suite parentale avec dressing et salle de douche, ainsi que d’une salle de bains commune. Une place de parking est réservée au sous-sol pour les futurs propriétaires.",https://www.mubawab.tn/fr/a/8295389/a-vendre-appartement-en-s3,media\apartment\204\image_001.jpg,media\apartment\204,9,2026-02-18 10:03:42.593355,Unknown
1232,Immeuble Rokhan à Vendre à Bizerte,Tunisie,680000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,3.0,,,{},{},"Un immeuble R2 situé dans un bon quartier à Bizerte Nord. Au RDC, On a un appartement S2 qui se compose par un salon, une cuisine, 2 chambres et une salle de bain.  Au 1 er étage, On a un appartement S3 qui se compose par un salon, une cuisine, 3 chambres et une salle de bain. Au 2 éme étage, On a de même un S3. A L'extérieur, On a un jardin et un garage. Pour plus de renseignements, Veuillez contacter L'agent",https://www.mubawab.tn/fr/a/7945541/immeuble-rokhan-%C3%A0-vendre-%C3%A0-bizerte,media\apartment\182\image_001.jpg,media\apartment\182,5,2026-02-18 09:57:58.992667,Unknown
1233,Vente immeuble Hawaii,Tunisie,30000,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,,,,{},{},,https://www.mubawab.tn/fr/a/8305645/vente-immeuble-hawaii,media\house\942\image_001.jpg,media\house\942,1,2026-02-18 20:04:12.820113,Unknown
1234,A vendre s1 à chotrana,Tunisie,225000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,1.0,,,{},{},"L'agence Immobilière la cible immo vous propose à la vente un s1 direct promoteur dans une résidence composée de deux étages uniquement. Il est composé d'un salon,  une cuisine américaine,  une salle d'eau avec cabine de douche et une chambre à coucher avec dressing. Y compris une place de parking",https://www.mubawab.tn/fr/a/8297647/a-vendre-s1-%C3%A0-chotrana,media\apartment\237\image_001.jpg,media\apartment\237,5,2026-02-18 10:11:08.876004,Unknown
1235,Appartement A03 – S1 – Résidence MAYA à Kairouan,Tunisie,167875 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,62.3,1.0,,,{},{},"Appartement A03 – S+1 – Résidence MAYA à Kairouan Appartement S+1 de 62,5 m², avec un jardin de 28 m², parfait pour profiter de la nature tout en restant proche de la ville. Le salon lumineux, la chambre confortable et la cuisine fonctionnelle font de cet appartement un choix idéal pour les jeunes couples ou investisseurs. Caractéristiques : Surface totale : 62,5 m² Jardin : 28 m² Prix TTC : 167.875,000 DT N'hésitez pas à prendre contact avec nous pour programmer rapidement votre visite !",https://www.mubawab.tn/fr/pa/8255186/appartement-a03-%E2%80%93-s1-%E2%80%93-r%C3%A9sidence-maya-%C3%A0-kairouan,media\apartment\46\image_001.jpg,media\apartment\46,5,2026-02-18 09:26:51.656714,Unknown
1236,Appartement A15 – Résidence MAYA à Kairouan,Tunisie,248841 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,112.3,,,,{},{},"Appartement 105,89 m², idéal pour un espace de vie moderne et confortable. Salon lumineux, chambres confortables, cuisine bien équipée. Caractéristiques : Surface totale : 105,89 m² Prix TTC : 248.841,500 DT N'hésitez pas à prendre contact avec nous pour programmer rapidement votre visite !",https://www.mubawab.tn/fr/pa/8255546/appartement-a15-%E2%80%93-r%C3%A9sidence-maya-%C3%A0-kairouan,media\apartment\214\image_001.jpg,media\apartment\214,6,2026-02-18 10:05:52.351441,Unknown
